J-K,H-K,J-H,Spectral Type,EW NA,EW Ca,H2OK2 Index,[Fe/H]
0.9139996,0.3259993,0.5880003,M6V,5.9783163,1.6247456,0.7899405,0.1988261
0.8659992,0.2769995,0.5889997,M4V,7.2863789,3.5022848,0.8848808,0.2982955
0.9720001,0.3400002,0.6320000,,6.0778160,2.0988572,0.7875205,0.2111061
0.8849993,0.2359991,0.6490002,,6.0079060,4.9223604,0.9745667,0.2025592
0.8450003,0.2860003,0.5590000,M4V,5.2781653,3.1191516,0.8638577,
0.7590003,0.2190003,0.5400000,M4V,3.9586930,2.4928918,0.8663338,
