Kepler ID,KOI Name,Discovery Quarter,Kepler Disposition,RA (J2000),Dec (J2000),Period,Transit Depth,Duration,Semi-major Axis,Eccentricity,r/R,a/R,Planet Radius,Teq,Teff,log(g),Stellar Radius,Stellar Mass,KOI count,Binary Discrimination
10187017,K00082.04,1,CANDIDATE,18 45 55.854,+47 12 28.91,7.07,78,3.26,0.07,0,0.01,12.5,0.69,718,4908,4.61,0.74,0.8,5,4.27
10187017,K00082.05,1,CANDIDATE,18 45 55.854,+47 12 28.91,5.29,42,2.44,0.06,0,0.01,10.3,0.54,792,4908,4.61,0.74,0.8,5,1.58
2571238,K00084.01,1,CANDIDATE,19 21 40.994,+37 51 06.48,9.29,696,3.54,0.08,0,0.03,12.6,2.53,781,5541,4.53,0.86,0.91,1,0
5866724,K00085.01,1,CANDIDATE,19 14 45.286,+41 09 04.25,5.86,324,4.11,0.07,0,0.02,7.27,2.36,1142,6172,4.36,1.2,1.21,3,2.19
5866724,K00085.02,1,CANDIDATE,19 14 45.286,+41 09 04.25,2.15,98,3.23,0.04,0,0.01,3.73,1.27,1592,6172,4.36,1.2,1.21,3,0.5
5866724,K00085.03,1,CANDIDATE,19 14 45.286,+41 09 04.25,8.13,115,4.36,0.08,0,0.01,9.04,1.41,1028,6172,4.36,1.2,1.21,3,1.47
10593626,K00087.01,1,CANDIDATE,19 16 52.200,+47 53 04.06,289.86,490,7.4,0.81,0,0.02,186,2.1,250,5510,4.5,0.85,0.83,1,0.01
8056665,K00089.01,1,CANDIDATE,19 59 17.080,+43 48 51.37,84.69,342,10.06,0.47,0,0.02,65.4,4.7,793,7713,3.9,2.52,1.86,2,0.42
8056665,K00089.02,1,CANDIDATE,19 59 17.080,+43 48 51.37,207.6,479,6.99,0.85,0,0.02,119,6.3,588,7713,3.9,2.52,1.86,2,1.73
7941200,K00092.01,1,CANDIDATE,18 53 29.956,+43 47 17.59,65.7,653,3.76,0.33,0,0.03,55,3.32,469,5952,4.43,1.04,1.08,1,1.85
6462863,K00094.01,1,CANDIDATE,19 49 19.937,+41 53 28.04,22.34,5490,6.7,0.17,0,0.07,26.1,11.4,820,6184,4.18,1.52,1.28,4,8.7
6462863,K00094.02,1,CANDIDATE,19 49 19.937,+41 53 28.04,10.42,771,5.2,0.1,0,0.03,15.7,4.22,1058,6184,4.18,1.52,1.28,4,0.69
6462863,K00094.03,1,CANDIDATE,19 49 19.937,+41 53 28.04,54.32,1899,8.49,0.31,0,0.04,47.2,6.73,609,6184,4.18,1.52,1.28,4,3.43
6462863,K00094.04,1,CANDIDATE,19 49 19.937,+41 53 28.04,3.74,129,3.6,0.05,0,0.01,7.93,1.73,1488,6184,4.18,1.52,1.28,4,3.09
5780885,K00097.01,1,CANDIDATE,19 14 19.563,+41 05 23.31,4.89,7489,5.23,0.06,0,0.08,6.84,16.1,1413,5934,4.04,1.78,1.26,1,0
10264660,K00098.01,1,CANDIDATE,19 10 50.120,+47 19 58.98,6.79,2255,6.27,0.08,0,0.06,7.3,10,1290,6395,4.15,1.63,1.37,1,9.70E-004
8505215,K00099.01,1,CANDIDATE,19 41 44.238,+44 31 52.03,579.93,1816,21.22,1.23,0,0.04,134,3.4,166,4992,4.62,0.7,0.75,1,0
4055765,K00100.01,1,CANDIDATE,19 24 42.700,+39 11 58.16,9.97,1624,5.01,0.11,0,0.06,6,19,1573,6630,3.69,3.18,1.79,1,1.84
8456679,K00102.01,1,CANDIDATE,19 58 49.138,+44 26 08.70,1.74,919,2.47,0.03,0,0.03,3.84,3.63,1571,5838,4.42,1.08,1.11,2,1
8456679,K00102.02,1,CANDIDATE,19 58 49.138,+44 26 08.70,4.07,81,2.79,0.05,0,0.01,7.6,1.19,1173,5838,4.42,1.08,1.11,2,2.12
2444412,K00103.01,1,CANDIDATE,19 26 44.004,+37 45 05.73,14.91,861,3.31,0.12,0,0.03,27,2.95,703,5531,4.44,0.96,0.91,1,1.51
10318874,K00104.01,1,CANDIDATE,18 44 46.736,+47 29 49.67,2.51,1539,1.14,0.03,0,0.04,11,3.36,996,4786,4.59,0.76,0.81,1,7.30E-004
8711794,K00105.01,1,CANDIDATE,19 55 44.890,+44 51 28.48,8.98,1077,1.9,0.08,0,0.03,27,3.35,861,5649,4.4,0.96,0.84,1,2.78
11250587,K00107.01,1,CANDIDATE,19 39 20.442,+48 58 56.50,7.26,466,5.11,0.08,0,0.02,6.52,3.1,1062,5919,4.29,1.27,1.16,1,2.5
4914423,K00108.01,1,CANDIDATE,19 15 56.294,+40 03 52.30,15.97,482,4.65,0.13,0,0.02,16.79,2.94,805,5975,4.33,1.21,1.16,2,0.02
4914423,K00108.02,1,CANDIDATE,19 15 56.294,+40 03 52.30,179.6,1234,13.44,0.65,0,0.03,84.3,4.46,359,5975,4.33,1.21,1.16,2,3.9
9450647,K00110.01,1,CANDIDATE,18 58 13.374,+46 03 49.79,9.94,529,3.98,0.1,0,0.02,13.2,3,1017,6538,4.36,1.21,1.21,1,1.22
6678383,K00111.01,1,CANDIDATE,19 10 25.107,+42 10 00.40,11.43,496,4.59,0.09,0,0.02,16.5,2.14,801,5711,4.41,0.93,0.81,4,2.44
6678383,K00111.02,1,CANDIDATE,19 10 25.107,+42 10 00.40,23.67,455,5.76,0.15,0,0.02,26.8,2.05,627,5711,4.41,0.93,0.81,4,0.96
6678383,K00111.03,1,CANDIDATE,19 10 25.107,+42 10 00.40,51.76,598,7.39,0.25,0,0.02,45.2,2.36,483,5711,4.41,0.93,0.81,4,1.51
10984090,K00112.01,1,CANDIDATE,19 42 35.691,+48 29 44.02,51.08,768,6.43,0.27,0,0.03,50,2.86,492,5853,4.46,0.99,1.04,2,0.22
10984090,K00112.02,1,CANDIDATE,19 42 35.691,+48 29 44.02,3.71,136,2.68,0.05,0,0.01,8.7,1.2,1185,5853,4.46,0.99,1.04,2,0.05
9579641,K00115.01,1,CANDIDATE,19 11 32.959,+46 16 34.47,5.41,598,2.82,0.06,0,0.02,13.6,3.38,1296,6398,4.25,1.35,1.18,3,2.18
9579641,K00115.02,1,CANDIDATE,19 11 32.959,+46 16 34.47,7.13,185,2.83,0.08,0,0.01,16.3,1.91,1182,6398,4.25,1.35,1.18,3,3
9579641,K00115.03,1,CANDIDATE,19 11 32.959,+46 16 34.47,3.44,22,2.61,0.05,0,0,10,0.64,1513,6398,4.25,1.35,1.18,3,0.04
8395660,K00116.01,1,CANDIDATE,20 03 27.356,+44 20 15.18,13.57,504,3.25,0.11,0,0.02,24.59,2.47,791,5865,4.41,1.04,1,4,1.37
8395660,K00116.02,1,CANDIDATE,20 03 27.356,+44 20 15.18,43.84,613,6.33,0.24,0,0.02,53.74,2.52,533,5865,4.41,1.04,1,4,0.51
8395660,K00116.03,1,CANDIDATE,20 03 27.356,+44 20 15.18,6.17,57,2.75,0.07,0,0.01,14.53,0.81,1025,5865,4.41,1.04,1,4,2.17
8395660,K00116.04,1,CANDIDATE,20 03 27.356,+44 20 15.18,23.98,79,4.68,0.16,0,0.01,35.94,0.93,653,5865,4.41,1.04,1,4,0.65
10875245,K00117.01,1,CANDIDATE,19 48 06.782,+48 12 31.00,14.75,420,6.72,0.13,0,0.02,7.62,2.93,807,5949,4.37,1.18,1.18,4,2.84
10875245,K00117.02,1,CANDIDATE,19 48 06.782,+48 12 31.00,4.9,140,4.41,0.06,0,0.01,3.65,1.71,1165,5949,4.37,1.18,1.18,4,0.63
10875245,K00117.03,1,CANDIDATE,19 48 06.782,+48 12 31.00,3.18,117,3.73,0.05,0,0.01,2.74,1.58,1345,5949,4.37,1.18,1.18,4,3.02
10875245,K00117.04,1,CANDIDATE,19 48 06.782,+48 12 31.00,7.96,52,4.28,0.08,0,0.01,5.05,1.08,991,5949,4.37,1.18,1.18,4,9.37
3531558,K00118.01,1,CANDIDATE,19 09 27.070,+38 38 58.56,24.99,275,5.97,0.17,0,0.02,21.6,1.69,616,5906,4.5,0.93,0.99,1,2.02
9471974,K00119.01,1,CANDIDATE,19 38 14.202,+46 03 44.38,49.18,1590,11.47,0.25,0,0.04,28.73,3.9,480,5632,4.44,0.94,0.89,2,0.84
9471974,K00119.02,1,CANDIDATE,19 38 14.202,+46 03 44.38,190.31,1138,15.63,0.62,0,0.03,70.81,3.4,306,5632,4.44,0.94,0.89,2,0.4
8349582,K00122.01,1,CANDIDATE,18 57 55.788,+44 23 52.95,11.52,510,4.06,0.1,0,0.02,12.9,2.78,823,5714,4.39,1.09,1.07,1,0
5094751,K00123.01,1,CANDIDATE,19 21 34.255,+40 17 05.53,6.48,315,3.63,0.07,0,0.02,11.6,2.64,1181,5871,4.15,1.43,1.06,2,0
5094751,K00123.02,1,CANDIDATE,19 21 34.255,+40 17 05.53,21.22,362,6.47,0.15,0,0.02,25.5,2.71,793,5871,4.15,1.43,1.06,2,0.46
11086270,K00124.01,1,CANDIDATE,19 31 42.993,+48 36 10.12,12.69,260,4.15,0.11,0,0.02,10.98,3.01,990,5899,4.07,1.58,1.07,2,4.1
11086270,K00124.02,1,CANDIDATE,19 31 42.993,+48 36 10.12,31.72,359,5.35,0.2,0,0.02,20.2,3.59,731,5899,4.07,1.58,1.07,2,1.27
8359498,K00127.01,1,CANDIDATE,19 18 25.913,+44 20 43.52,3.58,11445,2.9,0.05,0,0.1,10.36,10.93,1189,5731,4.45,1.04,1.11,1,0
11359879,K00128.01,1,CANDIDATE,19 44 48.142,+49 08 24.44,4.94,10877,3.38,0.06,0,0.1,10.34,11.97,1097,5786,4.42,1.09,1.13,1,0
7778437,K00131.01,1,CANDIDATE,19 56 23.408,+43 29 51.32,5.01,6361,4.6,0.06,0,0.07,8.95,9,1225,6411,4.4,1.13,1.17,1,3.89
9818381,K00135.01,1,CANDIDATE,19 00 57.803,+46 40 05.70,3.02,7832,2.82,0.04,0,0.08,8.73,10.56,1402,6082,4.37,1.2,1.24,1,7.40E-004
