J-K,H-K,J-H,Spectral Type,EW Na,EW Ca,H2OK2 Index
0.8,0.24,0.56,M2V,1.81,1.58,0.96
0.79,0.3,0.49,M4V,3.88,2.48,0.88
0.83,0.34,0.48,M5V,3.96,2.34,0.85
0.87,0.3,0.57,M4V,5.63,2.5,0.85
0.83,0.25,0.58,M4V,4.43,2.95,0.87
0.76,0.28,0.48,M5V,3.69,1.6,0.84
0.75,0.21,0.55,M3V,3.21,2.35,0.91
0.86,0.29,0.57,M5V,5.38,3.94,0.88
0.76,0.28,0.48,M4V,4.22,2.78,0.87
0.82,0.23,0.59,M3V,4.31,3.21,0.91
0.73,0.22,0.51,M4V,2.88,1.96,0.87
0.96,0.36,0.59,M6V,7.66,2.97,0.83
0.75,0.25,0.49,M4V,3.53,2.76,0.89
0.91,0.29,0.62,M4V,5.43,3.14,0.87
0.91,0.38,0.53,M5V,5.03,2.77,0.87
0.9,0.34,0.56,M7V,6.4,2.07,0.79
0.85,0.27,0.57,M4V,5.56,2.43,0.86
0.87,0.24,0.63,M5V,4.72,1.8,0.84
0.97,0.31,0.66,M4V,6.88,3.09,0.86
0.89,0.33,0.56,M5V,5.17,2.34,0.83
0.88,0.29,0.59,M5V,6.94,4.14,0.85
0.85,0.29,0.56,M3V,6.53,4.62,0.91
0.75,0.26,0.48,M4V,3.38,1.79,0.84
0.73,0.26,0.47,M4V,3.03,2.34,0.88
0.76,0.25,0.51,M4V,3.04,2.38,0.88
0.8,0.27,0.53,M4V,4.66,2.99,0.87
0.82,0.22,0.61,M2V,4.78,3.86,0.95
0.83,0.3,0.53,M5V,4.65,2.02,0.82
0.85,0.3,0.54,M3V,4.32,2.73,0.9
0.75,0.25,0.5,M4V,2.92,2.37,0.88
0.75,0.25,0.5,M5V,3.11,1.15,0.83
0.83,0.26,0.57,M4V,4.29,2.24,0.86
0.82,0.26,0.55,M3V,4.17,3.32,0.91
0.74,0.2,0.54,M4V,3.15,2.39,0.88
0.9,0.3,0.59,M5V,5.87,2.62,0.87
0.87,0.31,0.55,M6V,5.01,2.35,0.83
0.81,0.24,0.57,M4V,4.32,3.08,0.88
0.91,0.3,0.62,M5V,6.88,3.5,0.86
0.81,0.26,0.55,M5V,5.75,3.44,0.87
0.77,0.2,0.57,M3V,3.18,2.45,0.93
0.76,0.23,0.53,M3V,3.44,2.77,0.93
0.83,0.25,0.58,M4V,4.49,2.88,0.88
0.89,0.29,0.6,M5V,6.78,2.78,0.86
0.92,0.3,0.62,M4V,5.61,2.69,0.87
0.77,0.22,0.54,M4V,3.6,2.45,0.86
1.14,0.46,0.68,M89V,5.27,1.01,0.69
0.86,0.28,0.58,M4V,5.82,2.87,0.87
0.84,0.25,0.59,M4V,3.97,2.4,0.9
0.85,0.27,0.59,M4V,5.32,2.84,0.86
0.94,0.34,0.6,M6V,4.89,2.01,0.79
0.84,0.31,0.53,M5V,5.36,2.81,0.85
0.88,0.32,0.56,M5V,5.75,2.92,0.84
0.92,0.36,0.56,M5V,5.39,2.74,0.84
0.84,0.27,0.57,M5V,4.34,2.11,0.86
0.89,0.33,0.57,M5V,6.57,2.86,0.86
