Jmag,Hmag,Kmag,sptype,na,ca,hind,[Fe/H]
7.16,9.06,8.44,M5V      ,6.01,2.3,0.83,0.2
9.62,10.77,9.78,M6V ,5.8,2.94,0.83,0.17
6.97,8.53,8.18,M5V ,8.69,3.83,0.85,0.26
7.87,9.27,8.89,M4V ,4.89,3.67,0.85,0.01
9.37,10.4,9.75,M6V ,4.57,2.23,0.8,-0.06
8.58,10.14,9.44,M5V ,5.52,2.5,0.82,0.13
7.23,8.42,7.91,M4V    ,3.41,1.89,0.86,-0.39
7.9,9.21,8.81,M6V      ,4.9,3.43,0.82,0.02
9.16,10.73,9.86,M4V ,5,2.55,0.88,0.04
9.27,11.21,10.32,M6V ,5.42,2.29,0.81,0.12
5.51,6.07,5.86,M1V      ,3.24,2.72,0.98,-0.44
9.37,10.89,9.86,M6V ,4.97,2.65,0.8,0.03
6.46,7.73,7.33,M3V    ,4.79,3.76,0.91,-0.01
7.92,9.67,9.24,M3V ,6.04,4.1,0.91,0.21
8.89,9.72,9.13,M3V ,5.58,4.14,0.93,0.14
7.12,7.92,7.69,M5V    ,7.02,3.5,0.86,0.29
6.9,8.7,7.69,M6V    ,7.07,2.73,0.8,0.29
9,10.28,9.95,M5V ,6.53,3.33,0.85,0.26
8.94,9.68,9.27,M4V ,5.47,3.39,0.88,0.12
8.73,10.15,9.47,M4V      ,3.02,1.91,0.85,-0.52
8.59,10.1,9.13,M6V ,3.47,1.24,0.76,-0.37
8.47,9.91,8.88,M5V      ,5.78,3.37,0.85,0.17
8.33,10.55,9.75,M5V ,5.54,3.1,0.85,0.14
7.82,9.45,8.69,M4V    ,3.68,2.92,0.89,-0.3
3.97,5.37,4.86,M4V    ,4.65,2.98,0.9,-0.04
7.03,8.62,7.48,M1V      ,4.98,4.64,1.01,0.03
7.17,8.45,7.28,M5V      ,5.95,2.65,0.86,0.2
8.49,9.46,9.08,M3V ,7.39,4.66,0.94,0.3
7.11,8.35,8.12,M4V ,5.24,4.07,0.9,0.08
9.43,10.81,9.7,M6V ,5.73,2.21,0.82,0.17
8.57,10.29,9.81,M6V ,7.66,2.77,0.83,0.3
5.01,6.24,5.7,M5V    ,6.78,4.48,0.86,0.28
8.7,10.18,9.85,M6V ,9.27,2.96,0.78,0.19
7.49,8.6,8.38,M5V      ,5.3,3.05,0.88,0.09
6.3,7.44,6.88,M4V    ,6.32,3.47,0.89,0.24
6.84,8.82,7.85,M4V ,6.71,3.8,0.89,0.27
7.34,9.86,8.83,M4V      ,4.5,3.27,0.88,-0.07
7.69,10.06,9.15,M5V ,5.5,3.83,0.87,0.13
7.69,9.85,8.86,M4V ,5.58,3.51,0.87,0.14
9.69,10.3,9.74,M5V ,6.21,2.71,0.84,0.23
7.01,8.62,8.29,M4V    ,7.62,4.36,0.91,0.3
8.98,9.54,9.06,M4V ,4.66,2.85,0.86,-0.04
