Jmag,Hmag,Kmag,sptype,na,ca,hind,[Fe/H]
10.02,11.28,10.24,M5V ,5.32,2.49,0.83,0.1
7.27,8.51,7.89,M3V    ,6.02,3.86,0.92,0.2
9.06,10.4,10.12,M7V ,4.97,1.33,0.78,0.03
8.64,10.71,10.12,M6V ,5.01,1.78,0.81,0.04
8.53,9.31,8.93,M4V      ,4.75,3.67,0.87,-0.02
8.52,9.93,9.15,M2V      ,4.64,3.76,0.94,-0.04
4.89,6.42,6.05,M2V      ,5.65,4.7,0.92,0.15
7.9,10.46,9.3,M5V    ,5.18,2.47,0.85,0.07
9.56,11.13,10.37,M6V      ,6.37,2.36,0.82,0.24
8.1,9.59,8.71,M4V    ,5.9,3.6,0.91,0.19
7.41,9.2,8.04,M4V      ,4.76,2.84,0.87,-0.01
7.9,10.34,9.26,M5V    ,6.5,3.1,0.84,0.25
9.06,10.78,10.23,M6V ,6.44,2.48,0.8,0.25
8.57,9.74,9.37,M5V ,5,2.69,0.85,0.04
6.94,8.29,7.97,M3V    ,5.46,3.63,0.91,0.12
8.41,9.44,8.45,M5V ,5.05,2.6,0.86,0.05
7.13,9.09,8.46,M4V ,6.54,4.97,0.9,0.26
8.43,10.29,9.6,M5V ,6.36,1.82,0.83,0.24
7.54,7.82,7.56,M3V ,6.84,4.5,0.92,0.28
5.99,8.1,7.3,M2V    ,3.61,3.65,1,-0.32
7.04,7.88,7.17,M2V    ,5.43,4.26,1.02,0.12
9.49,10.34,9.9,M4V ,3.13,1.94,0.87,-0.48
8.81,9.59,8.98,M5V    ,7.27,3.63,0.84,0.3
8.35,10.11,9.42,M5V ,5.37,3.3,0.87,0.11
9.05,11.05,10.17,M5V      ,5.88,2.51,0.83,0.19
8.78,10.76,9.62,M6V ,5.36,2,0.82,0.11
10.66,11.65,10.68,M7V ,6.09,2.23,0.8,0.21
7.32,9.58,8.81,M5V    ,4.74,2.3,0.85,-0.02
6.65,8.16,7.23,M4V      ,5.56,3.19,0.87,0.14
8.86,10.37,10.12,M6V ,4.56,2.13,0.82,-0.06
6.79,8.24,7.93,M3V      ,3.55,2.37,0.94,-0.34
8.61,9.12,8.68,M3V      ,4.55,2.96,0.85,-0.06
6.63,7.56,6.81,M4V      ,5.69,4.09,0.88,0.16
6.27,7.43,6.81,M3V      ,5.97,5.09,0.96,0.2
8.69,9.68,8.83,M4V ,6.13,4.21,0.87,0.22
6.56,8.44,7.7,M0V ,3.71,3.52,1.01,-0.29
7.43,8.92,7.86,M3V      ,5.26,4.07,0.9,0.09
